Gene	Module	kME
MCM2	P1_I2_M4	0.91
Spt16 	P1_I2_M3	0.91
H2bfm	P1_I2_M2	0.74
Nucleophosmin 3	P1_I2_M4	0.84
Spt6	P1_I2_M3	0.71
Nucleolin	P1_I2_M3	0.84
Cenpa	P1_I2_M4	0.95
HJURP	P1_I2_M4	0.96
H2bfwt	P1_I2_M2	0.8
Hist1h1d	P1_I2_M9	0.92
Hist1h2bj	P1_I2_M1	0.97
DEK	P1_I2_M3	0.79
INO80	P1_I2_M3	0.77
ANP32E	P1_I2_M4	0.72
Hist1h2ba	P1_I2_M2	0.92
POLE3 	P1_I2_M3	0.82
SSRP1	P1_I2_M3	0.92
Hist1h2bd	P1_I2_M10	0.89
p60	P1_I2_M4	0.76
TONSL	P1_I2_M4	0.86
RbAp48	P1_I2_M3	0.8
H2afz	P1_I2_M4	0.86
Hist1h2aa	P1_I2_M2	0.87
p150	P1_I2_M4	0.91
Hist3h3	P1_I2_M2	0.9
Hist1h1e	P1_I2_M9	0.94
H1foo	P1_I2_M2	0.91
Hist1h2ac	P1_I2_M5	0.76
Nucleophosmin 1	P1_I2_M3	0.75
P400	P1_I2_M3	0.8
Hist2h2ac	P1_I2_M5	0.84
Hist2h2ab	P1_I2_M9	0.8
Hist1h1b	P1_I2_M9	0.92
Hist2h2be	P1_I2_M10	0.85
Hist1h2bl	P1_I2_M1	0.89
H1fnt	P1_I2_M2	0.95
Hist1h1t	P1_I2_M2	0.76
Hist1h1c	P1_I2_M1	0.93
H2afx	P1_I2_M4	0.87
Hils1	P1_I2_M2	0.81
Hist1h2ai	P1_I2_M1	0.97
Hist1h2ag	P1_I2_M1	0.96
Hist1h2ad	P1_I2_M5	0.91
Hist1h4c	P1_I2_M6	0.96
Hist1h3d	P1_I2_M5	0.9
Hist1h2bk	P1_I2_M1	0.94
Hist2h3c	P1_I2_M8	0.91
Hist2h2aa	P1_I2_M5	0.95
Hist2h2bf	P1_I2_M5	0.85
Hist2h3a	P1_I2_M8	0.91
DAXX	P1_I2_M3	0.76
DNAJC9	P1_I2_M1	0.75
Hist1h2bn	P1_I2_M1	0.95
H2bfs	P1_I2_M1	0.92
H3.X	P1_I2_M2	0.73
Hist2h4B	P1_I2_M8	0.91
Hist2h4a	P1_I2_M8	0.91
Hist1h2aa4	P1_I2_M5	0.95
Hist1h4k	P1_I2_M1	0.8
Hist1h2bm	P1_I2_M7	0.84
Hist1h2bi	P1_I2_M10	0.93
H2afb1	P1_I2_M2	0.92
Hist1h3b	P1_I2_M6	0.77
Hist1h2be	P1_I2_M8	0.81
Hist1h4f	P1_I2_M7	0.84
Hist1h2bo	P1_I2_M1	0.87
Hist1h4l	P1_I2_M7	0.76
Hist1h3i	P1_I2_M7	0.9
Hist1h3a	P1_I2_M2	0.79
Hist1h4i	P1_I2_M1	0.95
Hist1h2aj	P1_I2_M1	0.94
Hist1h2bb	P1_I2_M7	0.87
Hist1h4e	P1_I2_M6	0.81
Hist1h2ae	P1_I2_M10	0.92
Hist1h4d	P1_I2_M6	0.92
Hist1h2bf	P1_I2_M1	0.71
H2afb3	P1_I2_M2	0.94
Hist1h3f	P1_I2_M9	0.79
H2afb2	P1_I2_M2	0.94
Hist1h2ab	P1_I2_M6	0.72
Hist1h2bg	P1_I2_M7	0.95
Hist1h4a	P1_I2_M6	0.91
Hist1h2am	P1_I2_M1	0.83
Hist1h4b	P1_I2_M6	0.96
Hist1h3h	P1_I2_M1	0.96
